,CNTSCHID,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM
128,3200131.0,private,1.0,8.0068,1185.0,0.306,1.0,148.0,1.0,0.7973,0.1351,0.0676,53.0,3.0,-1.4212,-1.4551,-2.0719,-0.5079,0.9042,7.0022,422.08435
129,3200132.0,public,3.0,,,,0.0,,,,,,33.0,2.0,0.1423,0.0131,0.6654,0.5642,-0.6263,2.73787,321.31235
130,3200133.0,private,2.0,15.4333,463.0,0.3158,1.0,30.0,1.0,0.6667,0.25,0.0833,33.0,3.0,-1.4212,-0.7828,-1.3196,-0.8166,0.9042,4.46807,342.973
131,3200134.0,public,3.0,9.3333,1400.0,0.375,,150.0,,,,,33.0,0.0,-0.3123,0.2633,0.1795,0.2266,-1.0542,1.98695,323.32358
132,3200136.0,public,3.0,6.898,169.0,0.6731,1.0,24.5,1.0,,0.2041,0.0,28.0,0.0,-0.2488,-1.4551,-0.6199,-2.0409,0.9042,18.43366,505.31814
133,3200137.0,public,3.0,9.0909,400.0,0.0,,44.0,1.0,0.6818,0.3182,0.0,13.0,0.0,-1.4212,0.2701,1.9143,1.6642,0.3009,7.33157,551.8106
134,3200138.0,public,3.0,3.5691,439.0,0.463,1.0,123.0,1.0,,,,23.0,2.0,1.9184,0.8371,2.3161,1.4533,-1.0542,6.29202,541.07373
135,3200139.0,public,3.0,15.4894,728.0,0.0,,47.0,1.0,0.2021,0.7447,0.0532,13.0,0.0,0.8339,0.592,0.8153,0.5642,0.9042,26.35517,2746.09244
136,3200140.0,private,2.0,5.0,215.0,0.3438,0.0909,43.0,1.0,0.8837,0.1163,0.0,33.0,3.0,1.2478,-1.4551,-1.4335,0.3117,0.9042,88.90413,3134.87491
137,3200141.0,public,3.0,13.7011,596.0,0.0042,0.0,43.5,0.0,0.8506,0.1839,0.023,33.0,3.0,-0.2264,-1.4551,0.54,-0.2568,0.9042,3.65343,257.74314
138,3200142.0,private,2.0,11.7586,341.0,0.5192,1.0,29.0,1.0,0.6379,0.3621,0.0,48.0,2.0,0.0969,-0.0019,-0.0384,1.3992,-1.0542,13.63587,696.85832
139,3200143.0,public,3.0,1.0769,21.0,,,19.5,1.0,1.0,0.1795,0.2308,13.0,0.0,1.4596,2.0976,0.7468,1.1035,0.9042,146.76623,491.82134
140,3200144.0,public,3.0,6.0706,516.0,0.1316,0.0,85.0,1.0,0.0588,0.9412,0.0,53.0,2.0,1.2478,-0.0879,1.2343,1.3735,0.9042,32.30168,1676.18468
141,3200145.0,private,2.0,13.2205,1679.0,0.4887,1.0,127.0,1.0,1.0,1.0,0.1654,38.0,2.0,-1.4212,-1.4551,-1.173,0.2397,0.9042,2.29708,579.47577
142,3200146.0,public,3.0,7.25,290.0,0.0122,0.0,40.0,1.0,0.85,0.15,0.025,53.0,0.0,1.7236,-0.1953,-0.7912,0.2266,0.9042,48.36944,1603.34011
143,3200147.0,private,1.0,14.1333,318.0,0.125,1.0,22.5,1.0,0.6667,0.3333,0.0,53.0,3.0,2.455,0.6676,-1.528,-1.2356,0.9042,46.20197,2616.93693
144,3200148.0,public,3.0,6.0,114.0,0.6667,0.0,19.0,1.0,0.9737,0.0,0.0,13.0,3.0,0.7566,1.3405,-0.6033,0.3593,0.9042,173.19111,2156.0859
145,3200149.0,private,1.0,11.8947,339.0,0.6154,1.0,28.5,0.1053,0.6491,0.1754,0.0702,33.0,3.0,-1.4212,-1.4551,-2.0719,-0.1662,0.287,7.1083,245.13959
146,3200150.0,private,1.0,17.6053,669.0,0.0167,1.0,38.0,0.8553,0.0,0.5263,0.3289,28.0,3.0,1.2478,0.902,1.1262,0.8952,0.9042,59.83932,3387.23891
147,3200151.0,public,3.0,7.3051,431.0,0.0,,59.0,1.0,0.8983,0.1017,0.0,28.0,1.0,2.1861,1.6509,1.1783,1.7189,-1.6722,30.02241,2649.80998
148,3200152.0,private,,,,,,,,,,,,,,,,,,5.72131,542.16337
149,3200153.0,public,3.0,14.7945,1080.0,0.2463,0.5,73.0,0.0,0.2808,0.7192,0.274,53.0,1.0,-0.6483,-0.4314,0.6482,0.2266,0.287,12.84205,2573.77172
150,3200154.0,public,3.0,2.4103,94.0,,,39.0,,0.7179,0.2821,,13.0,2.0,0.8339,0.0935,1.137,0.1875,-0.6385,18.43366,286.14559
151,3200155.0,private,2.0,13.0462,424.0,0.2941,1.0,32.5,1.0,0.3692,0.1077,0.0769,33.0,2.0,-1.4212,-0.7828,-0.0956,0.9355,0.9042,4.42125,282.93841
152,3200156.0,private,2.0,6.8739,409.0,0.5385,0.0,59.5,1.0,0.8739,0.1261,0.0,53.0,0.0,1.0245,-1.4551,0.2337,1.6299,0.1329,45.0963,2556.316
153,3200157.0,public,3.0,5.0968,79.0,,,15.5,1.0,0.871,0.129,0.0,13.0,1.0,0.0574,-0.4314,0.6935,0.9054,0.9042,36.86731,463.41283
154,3200158.0,public,3.0,3.6078,92.0,0.3125,0.0,25.5,0.0,1.0,0.098,0.0392,13.0,1.0,2.1432,1.6342,0.1936,1.7189,-1.0542,87.11143,1603.14187
155,3200159.0,public,3.0,2.6296,142.0,,,54.0,,,,,38.0,1.0,0.1423,1.1804,1.0248,1.7102,0.9042,18.43366,382.4734
156,3200160.0,private,2.0,13.5556,305.0,0.2727,1.0,22.5,0.0,0.7778,0.1111,0.2222,53.0,1.0,0.1,0.0055,0.4781,0.8378,-1.0542,6.42668,260.00306
157,3200161.0,public,3.0,,617.0,0.0476,0.0,,,,,,13.0,2.0,0.0574,0.0131,0.2498,1.1035,-2.436,25.19752,2016.55465
158,3200162.0,public,3.0,2.1961,224.0,0.5357,,102.0,1.0,1.0,1.0,0.1471,53.0,1.0,0.7566,-0.0719,-0.335,-0.4697,0.9042,174.22286,7049.49967
159,3200163.0,public,3.0,,,,,1.0,1.0,0.0,0.0,0.0,,1.0,1.529,-0.614,-0.2335,1.2182,-0.5083,293.53247,362.06807
160,3200164.0,public,3.0,20.3916,1458.0,0.0628,1.0,71.5,1.0,0.5804,0.4196,0.3217,38.0,2.0,0.2956,1.6509,-0.0705,2.1689,0.9042,1.21683,278.84908
161,3200165.0,public,3.0,7.9737,303.0,1.0,0.0,38.0,1.0,0.9605,0.0395,0.0,38.0,2.0,0.1,-0.5869,1.3201,-0.5993,0.9042,4.17885,138.15915
162,3200166.0,public,3.0,,754.0,,,,,,,,,2.0,0.4698,-0.0719,-0.6033,-1.2943,0.9042,2.94172,443.6231
163,3200167.0,public,3.0,9.3278,1679.0,1.0,0.3404,180.0,1.0,0.0,0.75,0.25,28.0,3.0,-0.949,-1.4551,-2.0719,-0.1662,0.9042,2.13635,419.60814
164,3200168.0,private,3.0,4.9101,928.0,0.1524,1.0,189.0,1.0,0.3651,0.254,0.0529,33.0,0.0,-0.6884,-1.4551,-1.6103,0.6015,0.9042,3.2355,570.92087
165,3200169.0,public,3.0,9.771,640.0,0.1667,1.0,65.5,1.0,0.687,0.313,0.0076,53.0,2.0,-0.2692,-0.3163,-0.3684,0.1875,-0.3006,5.51434,413.20033
166,3200170.0,private,2.0,26.3243,487.0,1.3913,0.8438,18.5,1.0,0.4595,0.5405,0.1081,23.0,1.0,0.1,0.592,0.3894,1.1913,0.9042,13.40422,357.86854
167,3200171.0,public,3.0,14.5175,1038.0,0.2273,0.0,71.5,1.0,0.0769,0.9231,0.2308,53.0,1.0,0.4186,0.3595,0.4333,0.1144,0.9042,17.413,2108.63695
168,3200172.0,private,2.0,9.0566,480.0,,0.75,53.0,1.0,0.0,0.0,0.0,33.0,3.0,0.7889,1.5598,0.7577,0.8952,0.9042,27.34402,2224.88639
169,3200173.0,public,3.0,10.0,310.0,0.0,,31.0,1.0,0.8065,0.1774,0.0484,53.0,1.0,1.3498,0.592,0.0158,0.8952,-0.6385,56.46111,2480.48766
170,3200174.0,public,3.0,4.7059,40.0,0.6364,0.0,8.5,,,,0.0,13.0,,-1.4212,-1.4551,-1.4335,-1.419,-0.0504,36.29629,86.54797
